
,,,,,,,,,,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,135000,1399999.9999999995,16,4,53,19,470475000,470520000,94095000,23490000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3050000,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,to T10,1399999.9999999995,16,4,53,19,470475000,470520000,94095000,23490000



